"country","medianHouseholdIncome","medianPerCapitaIncome","medianAnnualIncome","pop2021"
"Luxembourg","52493","18418","73910","634.8140"
"Norway","51489","19308","82500","5465.6300"
"Sweden","50514","18632","55840","10160.1690"
"Australia","46555","15026","54910","25788.2150"
"Denmark","44360","18262","63240","5813.2980"
"United States","43585","15480","65760","332915.0730"
"Canada","41280","15181","46370","38067.9030"
"South Korea","40861","11950","33720","51305.1860"
"Kuwait","40854","7487","","4328.5500"
"Netherlands","38584","14450","53200","17173.0990"
"New Zealand","35562","12147","42670","4860.6430"
"Hong Kong","35443","9705","50840","7552.8100"
"Austria","34911","12284","51300","9043.0700"
"Japan","33822","10840","41690","126050.8040"
"Germany","33333","14098","48520","83900.4730"
"Taiwan","32762","6882","","23855.0100"
"Singapore","32360","7345","59590","5896.6860"
"United Kingdom","31617","12399","42370","68207.1160"
"France","31112","12445","42400","65426.1790"
"Israel","30364","7847","43290","8789.7740"
"Belgium","26703","10189","47350","11632.3260"
"Qatar","26555","5117","","2930.5280"
"Slovenia","25969","8656","","2078.7240"
"Ireland","25085","8048","62210","4982.9070"
"Saudi Arabia","24980","4762","22850","35340.6830"
"Bahrain","24693","4778","","1748.2960"
"Finland","24615","15725","49580","5548.3600"
"Czech Republic","22913","7821","","10724.5550"
"Spain","21959","7284","30390","46745.2160"
"Malta","21141","6869","","442.7840"
"Italy","20085","6874","34460","60367.4770"
"Cyprus","18242","4932","","1215.5840"
"Greece","17777","6086","20320","10370.7440"
"Slovakia","17415","5455","","5460.7210"
"Croatia","16231","5177","14910","4081.6510"
"Portugal","16186","5519","23080","10167.9250"
"Poland","15338","4578","15200","37797.0050"
"Belarus","15085","5236","6280","9442.8620"
"Argentina","14432","4109","11200","45605.8260"
"Lebanon","13004","2960","","6769.1460"
"Estonia","12577","5031","","1325.1850"
"Hungary","12445","4493","16140","9634.1640"
"Lithuania","12375","4719","","2689.8620"
"Iran","12046","3115","5420","85028.7590"
"Russia","11724","4129","11260","145912.0250"
"Mexico","11680","2900","9430","130262.2160"
"Montenegro","11519","3123","","628.0530"
"Azerbaijan","11446","2430","","10223.3420"
"Venezuela","11299","2328","13080","28704.9540"
"Malaysia","11207","2267","11200","32776.1940"
"Ukraine","11074","3876","3370","43466.8190"
"Latvia","10461","4000","","1866.9420"
"Tunisia","8966","1646","","11935.7660"
"Turkey","8955","2538","9610","85042.7380"
"Costa Rica","8929","2032","11700","5139.0520"
"Serbia","8921","3020","7020","8697.5500"
"Macedonia","8606","1990","","2082.6580"
"Bulgaria","8487","2829","9410","6896.6630"
"Panama","8356","2011","","4381.5790"
"Jordan","8276","1550","","10269.0210"
"Syria","8193","1431","","18275.7020"
"Chile","8098","2040","15010","19212.3610"
"Uruguay","7949","2488","","3485.1510"
"Romania","7922","2618","12630","19127.7740"
"Algeria","7849","1392","","44616.6240"
"Brazil","7522","2247","9130","213993.4370"
"Kazakhstan","7492","1958","","18994.9620"
"Bosnia and Herzegovina","7383","2553","","3263.4660"
"Albania","7314","1902","5240","2872.9330"
"Thailand","7029","1795","7260","69950.8500"
"Ecuador","6858","1682","6080","17888.4750"
"Mauritania","6679","778","","4775.1190"
"Morocco","6634","1135","3190","37344.7950"
"Colombia","6544","1534","6510","51265.8440"
"Nicaragua","6488","1173","","6702.3850"
"Bolivia","6399","1403","3530","11832.9400"
"Libya","6398","1012","","6958.5320"
"Dominican Republic","6302","1623","","10953.7030"
"China","6180","1786","10410","1444216.1070"
"Paraguay","6179","1292","","7219.6380"
"Mongolia","5922","1440","","3329.2890"
"South Africa","5217","1217","6040","60041.9940"
"Peru","5161","1077","6740","33359.4180"
"Tajikistan","5137","713","","9749.6270"
"Iraq","4917","617","","41179.3500"
"Honduras","4848","821","","10062.9910"
"El Salvador","4828","1114","","6518.4990"
"Vietnam","4783","1124","2540","98168.8330"
"Guatemala","4516","898","","18249.8600"
"Moldova","4158","1329","","4024.0190"
"Afghanistan","4121","378","540","39835.4280"
"Pakistan","4060","480","1530","225199.9370"
"Kyrgyzstan","4034","828","","6628.3560"
"Comoros","3912","598","","888.4510"
"Senegal","3897","402","","17196.3010"
"Armenia","3865","926","","2968.1270"
"Sudan","3640","579","590","44909.3530"
"Botswana","3603","740","","2397.2410"
"Angola","3534","720","","33933.6100"
"Laos","3379","615","2570","7379.3580"
"Sri Lanka","3242","719","","21497.3100"
"Yemen","3178","400","","30490.6400"
"India","3168","616","2130","1393409.0380"
"Egypt","3111","623","2690","104258.3270"
"Bangladesh","2819","567","1940","166303.4980"
"Haiti","2735","627","","11541.6850"
"Nepal","2718","519","","29674.9200"
"Niger","2708","307","","25130.8170"
"Nigeria","2667","493","2030","211400.7080"
"Georgia","2591","734","","3979.7650"
"Philippines","2401","478","3850","111046.9130"
"Chad","2394","338","","16914.9850"
"Sierra Leone","2330","233","","8141.3430"
"Cambodia","2308","451","1480","16946.4380"
"Indonesia","2199","541","4050","276361.7830"
"Tanzania","2154","384","","61498.4370"
"Republic of the Congo","2106","416","","5657.0130"
"Cameroon","2075","403","1500","27224.2650"
"Ghana","2050","47","","31732.1290"
"DR Congo","1988","308","520","92377.9930"
"Mali","1983","165","","20855.7350"
"Kenya","1870","402","1750","54985.6980"
"Uganda","1775","296","","47123.5310"
"Burkina Faso","1530","168","","21497.0960"
"Benin","1502","237","","12451.0400"
"Zambia","1501","287","","18920.6510"
"Rwanda","1101","235","","13276.5130"
"Madagascar","1013","205","","28427.3280"
"Liberia","781","118","","5180.2030"
"Burundi","673","129","","12255.4330"
"Togo","571","279","","8478.2500"
"Liechtenstein","","","116430","38.2500"
"Monaco","","","186080","39.5110"
"Bermuda","","","106140","62.0900"
"Iceland","","","72850","343.3530"
