Rank,Name,GDP (IMF '19),GDP (UN '16),GDP Per Capita,Population 2021
1,United States,22.20 Tn,18.62 Tn,"$66,678","332,915,073"
2,China,15.47 Tn,11.22 Tn,"$10,710","1,444,216,107"
3,Japan,5.50 Tn,4.94 Tn,"$43,597","126,050,804"
4,Germany,4.16 Tn,3.48 Tn,"$49,548","83,900,473"
5,India,3.26 Tn,2.26 Tn,"$2,338","1,393,409,038"
6,United Kingdom,2.93 Tn,2.65 Tn,"$42,915","68,207,116"
7,France,2.88 Tn,2.47 Tn,"$43,959","65,426,179"
8,Italy,2.09 Tn,1.86 Tn,"$34,629","60,367,477"
9,Brazil,2.06 Tn,1.80 Tn,"$9,638","213,993,437"
10,Canada,1.83 Tn,1.53 Tn,"$48,137","38,067,903"
11,South Korea,1.74 Tn,1.41 Tn,"$34,000","51,305,186"
12,Russia,1.67 Tn,1.25 Tn,"$11,428","145,912,025"
13,Spain,1.50 Tn,1.24 Tn,"$32,026","46,745,216"
14,Australia,1.48 Tn,1.30 Tn,"$57,447","25,788,215"
15,Mexico,1.30 Tn,1.08 Tn,"$9,963","130,262,216"
16,Indonesia,1.21 Tn,932.26 Bn,"$4,374","276,361,783"
17,Netherlands,954.93 Bn,777.23 Bn,"$55,606","17,173,099"
18,Turkey,809.55 Bn,863.71 Bn,"$9,519","85,042,738"
19,Saudi Arabia,790.06 Bn,639.62 Bn,"$22,356","35,340,683"
20,Switzerland,740.70 Bn,668.85 Bn,"$84,987","8,715,494"
21,Poland,643.27 Bn,471.40 Bn,"$17,019","37,797,005"
22,Taiwan,633.70 Bn,,"$26,564","23,855,010"
23,Sweden,576.72 Bn,514.48 Bn,"$56,763","10,160,169"
24,Belgium,553.78 Bn,467.96 Bn,"$47,607","11,632,326"
25,Thailand,547.43 Bn,407.03 Bn,"$7,826","69,950,850"
26,Argentina,515.35 Bn,545.87 Bn,"$11,300","45,605,826"
27,Nigeria,496.12 Bn,404.65 Bn,"$2,347","211,400,708"
28,Iran,495.69 Bn,425.40 Bn,"$5,830","85,028,759"
29,Austria,481.68 Bn,390.80 Bn,"$53,265","9,043,070"
30,United Arab Emirates,449.13 Bn,348.74 Bn,"$44,953","9,991,089"
31,Norway,438.62 Bn,371.07 Bn,"$80,251","5,465,630"
32,Ireland,405.19 Bn,304.82 Bn,"$81,315","4,982,907"
33,Israel,403.96 Bn,317.75 Bn,"$45,958","8,789,774"
34,Hong Kong,402.03 Bn,320.91 Bn,"$53,230","7,552,810"
35,Malaysia,401.99 Bn,296.53 Bn,"$12,265","32,776,194"
36,Singapore,391.88 Bn,296.95 Bn,"$66,457","5,896,686"
37,Philippines,389.05 Bn,304.91 Bn,"$3,503","111,046,913"
38,South Africa,386.73 Bn,295.44 Bn,"$6,441","60,041,994"
39,Denmark,364.55 Bn,306.90 Bn,"$62,709","5,813,298"
40,Colombia,352.81 Bn,282.46 Bn,"$6,882","51,265,844"
41,Bangladesh,343.28 Bn,220.84 Bn,"$2,064","166,303,498"
42,Egypt,331.36 Bn,270.14 Bn,"$3,178","104,258,327"
43,Chile,313.56 Bn,247.05 Bn,"$16,321","19,212,361"
44,Finland,289.24 Bn,238.50 Bn,"$52,131","5,548,360"
45,Vietnam,282.37 Bn,205.28 Bn,"$2,876","98,168,833"
46,Romania,263.13 Bn,186.69 Bn,"$13,757","19,127,774"
47,Czech Republic,259.74 Bn,195.31 Bn,"$24,219","10,724,555"
48,Portugal,249.91 Bn,204.84 Bn,"$24,578","10,167,925"
49,Iraq,246.93 Bn,160.02 Bn,"$5,997","41,179,350"
50,Peru,244.16 Bn,192.21 Bn,"$7,319","33,359,418"
51,Greece,230.50 Bn,192.69 Bn,"$22,226","10,370,744"
52,New Zealand,224.94 Bn,187.52 Bn,"$46,278","4,860,643"
53,Qatar,204.01 Bn,152.45 Bn,"$69,615","2,930,528"
54,Algeria,193.06 Bn,159.05 Bn,"$4,327","44,616,624"
55,Hungary,177.73 Bn,125.82 Bn,"$18,448","9,634,164"
56,Kazakhstan,177.32 Bn,135.01 Bn,"$9,335","18,994,962"
57,Ukraine,147.17 Bn,93.27 Bn,"$3,386","43,466,819"
58,Kuwait,143.00 Bn,110.35 Bn,"$33,036","4,328,550"
59,Morocco,129.06 Bn,103.61 Bn,"$3,456","37,344,795"
60,Slovakia,117.40 Bn,89.77 Bn,"$21,499","5,460,721"
