"country","giniWB","yearWB","giniCIA","yearCIA","pop2022"
"South Africa","63","2014","63","2014","60756.1350"
"Namibia","59.1000","2015","59.1000","2015","2633.8740"
"Suriname","57.9000","1999","","","596.8310"
"Zambia","57.1000","2015","57.1000","2015","19470.2340"
"Sao Tome and Principe","56.3000","2017","56.3000","2017","227.6790"
"Central African Republic","56.2000","2008","43.6000","2003","5016.6780"
"Eswatini","54.6000","2016","54.6000","2016","1184.8170"
"Mozambique","54","2014","54","2014","33089.4610"
"Brazil","53.4000","2019","53.9000","2018","215353.5930"
"Belize","53.3000","1999","","","412.1900"
"Botswana","53.3000","2015","53.3000","2015","2441.1620"
"Angola","51.3000","2018","51.3000","2018","35027.3430"
"Colombia","51.3000","2019","50.4000","2018","51512.7620"
"Saint Lucia","51.2000","2016","51.2000","2016","185.1130"
"Guinea-Bissau","50.7000","2010","50.7000","2010","2063.3670"
"Zimbabwe","50.3000","2019","44.3000","2017","15331.4280"
"Panama","49.8000","2019","49.2000","2018","4446.9640"
"Republic of the Congo","48.9000","2011","48.9000","2011","5797.8050"
"Guatemala","48.3000","2014","48.3000","2014","18584.0390"
"Costa Rica","48.2000","2019","48","2018","5182.3540"
"Honduras","48.2000","2019","52.1000","2018","10221.2470"
"Benin","47.8000","2015","47.8000","2015","12784.7260"
"Cameroon","46.6000","2014","46.5000","2014","27911.5480"
"Nicaragua","46.2000","2014","46.2000","2014","6779.1000"
"Paraguay","45.7000","2019","46.2000","2018","7305.8430"
"Ecuador","45.7000","2019","45.4000","2018","18113.3610"
"Jamaica","45.5000","2004","35","2016","2985.0940"
"Mexico","45.4000","2018","36.8000","2018","131562.7720"
"Comoros","45.3000","2014","45.3000","2014","907.4190"
"Guyana","45.1000","1998","44.6000","2007","794.0450"
"Lesotho","44.9000","2017","44.9000","2017","2175.6990"
"Venezuela","44.8000","2006","39","2011","29266.9910"
"Malawi","44.7000","2016","44.7000","2016","20180.8390"
"Chile","44.4000","2017","44.4000","2017","19250.1950"
"South Sudan","44.1000","2016","46","2010","11618.5110"
"Rwanda","43.7000","2016","43.7000","2016","13600.4640"
"Ghana","43.5000","2016","43.5000","2016","32395.4500"
"Chad","43.3000","2011","43.3000","2011","17413.5800"
"Togo","43.1000","2015","43.1000","2015","8680.8370"
"Argentina","42.9000","2019","41.4000","2018","46010.2340"
"Uganda","42.8000","2016","42.8000","2016","48432.8630"
"Madagascar","42.6000","2012","42.6000","2012","29178.0770"
"Philippines","42.3000","2018","44.4000","2015","112508.9940"
"DR Congo","42.1000","2012","42.1000","2012","95240.7920"
"Iran","42","2018","40.8000","2017","86022.8370"
