Rank,Country,"Life Expectancy 
 (both sexes)","Females 
 Life Expectancy","Males 
 Life Expectancy"
1,Hong Kong,85.29,88.17,82.38
2,Japan,85.03,88.09,81.91
3,Macao,84.68,87.62,81.73
4,Switzerland,84.25,86.02,82.42
5,Singapore,84.07,86.15,82.06
6,Italy,84.01,85.97,81.9
7,Spain,83.99,86.68,81.27
8,Australia,83.94,85.8,82.08
9,Channel Islands,83.6,85.31,81.82
10,Iceland,83.52,84.9,82.15
11,South Korea,83.5,86.42,80.46
12,Israel,83.49,84.91,81.98
13,Sweden,83.33,84.97,81.69
14,France,83.13,85.82,80.32
14,Martinique,83.13,86.1,79.85
15,Malta,83.06,84.68,81.37
16,Canada,82.96,84.74,81.15
17,Norway,82.94,84.78,81.11
18,Ireland,82.81,84.32,81.29
19,New Zealand,82.8,84.38,81.2
19,Greece,82.8,85.08,80.52
20,Luxembourg,82.79,84.76,80.83
21,Netherlands,82.78,84.35,81.2
22,Guadeloupe,82.74,85.94,79.16
23,Portugal,82.65,85.28,79.79
24,Finland,82.48,85.14,79.82
25,Belgium,82.17,84.31,80
26,Austria,82.05,84.19,79.88
27,Germany,81.88,84.14,79.62
28,Slovenia,81.85,84.44,79.26
29,United Kingdom,81.77,83.28,80.22
30,Réunion,81.55,84.45,78.52
31,Cyprus,81.51,83.45,79.55
32,Denmark,81.4,83.27,79.54
33,U.S. Virgin Islands,81.17,83.52,78.64
34,Taiwan,81.04,83.64,78.49
35,Costa Rica,80.94,83.39,78.53
36,Guam,80.74,83.98,77.63
36,Chile,80.74,82.8,78.54
37,Qatar,80.73,82.49,79.78
38,Puerto Rico,80.69,83.92,77.27
39,French Guiana,80.53,83.38,77.8
40,Maldives,79.89,81.58,78.53
41,Mayotte,79.85,83.24,76.62
41,Czech Republic (Czechia),79.85,82.35,77.33
42,Barbados,79.64,80.85,78.36
43,Curaçao,79.41,82.08,76.42
44,Poland,79.27,82.98,75.51
44,Lebanon,79.27,81.17,77.53
45,Cuba,79.18,81.12,77.25
45,Estonia,79.18,83.06,74.98
46,United States,79.11,81.65,76.61
47,Panama,79.1,82.2,76.14
48,Croatia,79.02,82.02,75.95
49,Albania,78.96,80.48,77.48
50,Oman,78.58,80.94,76.9
51,United Arab Emirates,78.46,79.8,77.79
52,Turkey,78.45,81.21,75.57
53,Uruguay,78.43,81.88,74.75
54,French Polynesia,78.23,80.41,76.23
55,New Caledonia,78.16,80.89,75.61
56,Slovakia,78,81.35,74.59
57,Bosnia and Herzegovina,77.93,80.32,75.48
58,Colombia,77.87,80.54,75.18
59,Thailand,77.74,81.34,74.16
60,Bahrain,77.73,78.88,76.87
61,Ecuador,77.71,80.45,75.05
62,Sri Lanka,77.56,80.74,74.25
63,Algeria,77.5,78.76,76.3
64,Antigua and Barbuda,77.47,78.58,76.26
64,China,77.47,79.73,75.36
65,Peru,77.44,80.15,74.87
66,Morocco,77.43,78.66,76.17
67,Montenegro,77.39,79.77,74.99
68,Tunisia,77.36,79.34,75.37
69,Iran,77.33,78.54,76.22
70,Hungary,77.31,80.66,73.78
71,Argentina,77.17,80.42,73.82
72,Aruba,76.79,79.1,74.26
73,Saint Lucia,76.67,78.06,75.27
74,Malaysia,76.65,78.78,74.71
75,Brazil,76.57,80.14,73.01
76,Romania,76.5,79.91,73.13
77,Serbia,76.47,79.05,73.89
78,Lithuania,76.41,81.7,70.97
79,Brunei,76.35,77.64,75.17
80,North Macedonia,76.26,78.32,74.26
81,Syria,76.06,79.11,73.13
82,Honduras,75.87,78.14,73.57
83,Kuwait,75.85,77.06,75.09
84,Vietnam,75.77,79.85,71.73
85,Latvia,75.73,80.37,70.81
86,Saudi Arabia,75.69,77.37,74.47
87,Armenia,75.55,78.9,71.82
88,Mauritius,75.51,78.92,72.21
89,Bulgaria,75.49,79.06,72.05
90,Mexico,75.41,78.17,72.62
91,Nicaragua,75.23,78.65,71.75
92,Belarus,75.2,79.9,70.15
93,Belize,75.09,78.25,72.14
94,Guatemala,75.05,77.89,72.14
95,Jordan,75.01,76.82,73.28
96,Jamaica,74.88,76.6,73.17
97,Dominican Republic,74.65,77.9,71.58
98,State of Palestine,74.62,76.38,72.92
99,Paraguay,74.59,76.78,72.55
100,Bahamas,74.28,76.51,71.95
101,Georgia,74.24,78.54,69.85
102,Micronesia,74.08,77.2,71.14
103,El Salvador,74.06,78.48,69.27
104,Trinidad and Tobago,73.91,76.66,71.24
105,Kazakhstan,73.9,77.97,69.55
106,Samoa,73.75,75.97,71.69
107,Seychelles,73.74,77.71,70.26
108,Cabo Verde,73.58,76.83,70.15
109,Bangladesh,73.57,75.6,71.8
110,Libya,73.44,76.46,70.61
111,Solomon Islands,73.38,75.31,71.6
112,Azerbaijan,73.33,75.87,70.76
113,Russia,72.99,78.15,67.62
114,St. Vincent & Grenadines,72.98,75.62,70.66
115,North Korea,72.89,76.37,69.26
116,Bhutan,72.77,73.33,72.27
117,Grenada,72.59,75.16,70.24
118,Egypt,72.54,74.95,70.23
119,Ukraine,72.5,77.27,67.56
120,Bolivia,72.35,75.35,69.5
121,Venezuela,72.34,76.25,68.59
122,Indonesia,72.32,74.64,70.12
123,Moldova,72.3,76.53,68.02
124,Suriname,72.13,75.55,68.88
125,Uzbekistan,72.04,74.26,69.8
126,Kyrgyzstan,71.95,76.03,67.85
127,Tajikistan,71.76,74.11,69.5
128,Nepal,71.74,73.23,70.13
129,Philippines,71.66,75.92,67.67
130,Tonga,71.32,73.38,69.28
131,Western Sahara,71.08,73.19,69.36
131,Iraq,71.08,73.21,68.96
132,Sao Tome & Principe,71.01,73.5,68.54
133,Vanuatu,70.99,72.75,69.4
134,Cambodia,70.54,72.69,68.2
135,Mongolia,70.53,74.79,66.43
136,India,70.42,71.8,69.16
137,Guyana,70.26,73.53,67.22
138,Timor-Leste,70.18,72.36,68.14
139,Rwanda,70,72.16,67.75
140,Botswana,69.86,72.69,66.72
141,Kiribati,69.17,73.12,65
142,Laos,68.89,70.79,67.04
143,Senegal,68.87,70.88,66.64
144,Turkmenistan,68.63,72.19,65.1
145,Micronesia,68.27,70.07,66.54
146,Madagascar,68.21,69.92,66.53
147,Fiji,67.91,69.97,66
148,Djibouti,67.87,70.16,65.84
149,Ethiopia,67.81,69.8,65.86
150,Pakistan,67.79,68.9,66.77
151,Myanmar,67.78,70.81,64.65
152,Eritrea,67.48,69.75,65.26
153,Kenya,67.47,69.87,65.04
154,Gabon,67.03,69.27,64.93
155,Yemen,66.44,68.16,64.72
156,Tanzania,66.39,68.25,64.52
157,Sudan,66.09,68.03,64.18
158,Afghanistan,65.98,67.59,64.47
159,Malawi,65.62,68.77,62.45
160,Mauritania,65.57,67.24,63.88
161,Papua New Guinea,65.22,66.62,63.92
162,Congo,65.21,66.73,63.67
163,Comoros,65.03,66.88,63.24
164,Liberia,65,66.48,63.54
165,Haiti,64.99,67.21,62.77
166,Ghana,64.94,66.13,63.78
167,South Africa,64.88,68.42,61.46
168,Namibia,64.86,67.67,61.83
169,Zambia,64.7,67.71,61.66
170,Uganda,64.38,66.67,61.99
171,Niger,63.62,64.89,62.41
172,Gambia,63.26,64.73,61.8
173,Burkina Faso,62.98,63.78,62.06
174,Benin,62.84,64.45,61.23
175,Burundi,62.71,64.56,60.85
176,Guinea,62.64,63.25,61.79
177,Angola,62.22,65.12,59.46
178,Zimbabwe,62.16,63.66,60.39
179,Togo,62.13,63.08,61.16
179,Mozambique,62.13,64.95,59.05
180,DR Congo,61.6,63.21,60.01
181,Eswatini,61.05,65.67,56.98
182,Mali,60.54,61.39,59.69
183,Cameroon,60.32,61.66,58.99
184,Equatorial Guinea,59.82,61.08,58.76
185,Guinea-Bissau,59.38,61.33,57.31
186,Côte d'Ivoire,58.75,60.13,57.5
187,South Sudan,58.74,60.31,57.21
188,Somalia,58.34,60.11,56.62
189,Sierra Leone,55.92,56.78,55.01
190,Nigeria,55.75,56.75,54.8
191,Lesotho,55.65,58.9,52.52
192,Chad,55.17,56.65,53.73
193,Central African Republic,54.36,56.58,52.16
