"Rank","Country","MarketSize","MarketGrowthRate","MarketIntensity","MarketConsumptionCapacity","CommercialInfrastructure","MarketReceptivity","EconomicFreedom","CountryRisk","OverallScore"
"1","China","100","52","1","100","71","3","39","70","100"
"2","India","37","61","28","44","54","3","57","55","53"
"3","Singapore","2","40","69","21","93","100","89","94","51"
"4","Hong Kong","2","32","100","25","100","90","57","73","48"
"5","Canada","7","26","67","24","68","75","93","94","46"
"6","Japan","15","17","57","54","85","8","89","100","43"
"7","Ireland","1","70","39","18","61","58","97","87","43"
"8","South Korea","8","34","44","86","60","20","83","94","42"
"9","Germany","9","24","65","37","79","19","87","94","40"
"10","United Kingdom","7","22","77","35","74","16","94","94","38"
"11","Switzerland","2","19","81","22","80","38","98","100","38"
"12","Netherlands","3","25","53","15","84","50","92","100","38"
"13","Belgium","2","25","61","12","77","49","84","94","36"
"14","France","8","21","61","36","81","12","77","94","36"
"15","Vietnam","5","80","43","14","58","34","43","54","36"
"16","Russia","14","24","32","100","58","5","43","45","35"
"17","Australia","4","31","63","29","62","13","98","94","35"
"18","Spain","5","32","59","17","78","11","84","94","34"
"19","New Zealand","1","36","59","20","66","12","100","100","33"
"20","Philippines","4","67","54","29","44","9","63","61","33"
"21","Denmark","1","26","59","16","78","21","93","100","33"
"22","Indonesia","11","52","29","27","52","3","69","67","33"
"23","Cyprus","1","47","68","16","59","22","86","66","33"
"24","Malaysia","3","47","49","22","59","22","72","74","32"
"25","Mexico","9","28","49","41","51","27","65","55","32"
"26","United Arab Emirates","2","35","53","9","74","42","60","77","32"
"27","Chile","2","33","51","34","59","13","90","85","32"
"28","Italy","6","20","66","25","72","10","79","81","32"
"29","Lithuania","1","35","59","13","57","26","89","87","31"
"30","Austria","2","25","66","12","66","19","89","100","31"
"31","Poland","3","42","49","13","62","16","78","85","31"
"32","Sweden","2","27","52","10","70","17","90","100","31"
"33","Israel","2","37","52","15","63","17","80","92","30"
"34","Portugal","2","29","64","16","68","13","81","94","30"
"35","Cambodia","1","100","41","11","39","18","41","32","30"
"36","Norway","2","24","66","11","66","14","88","100","30"
"37","Czechia","2","35","39","11","65","24","89","87","30"
"38","Panama","1","52","36","30","51","24","74","54","30"
"39","Finland","2","25","60","12","62","13","91","100","29"
"40","Estonia","1","37","40","5","53","24","94","94","29"
"41","Brazil","15","14","44","49","51","3","57","38","29"
"42","Hungary","2","44","35","6","64","27","69","79","29"
"43","Slovenia","1","35","48","7","55","26","82","87","28"
"44","Guatemala","1","55","72","32","34","8","60","45","28"
"45","Costa Rica","1","42","47","31","49","19","78","48","28"
"46","Dominican Republic","2","57","52","25","38","12","64","51","27"
"47","Romania","2","40","59","4","60","11","78","66","27"
"48","Bulgaria","1","38","43","22","52","19","79","66","27"
"49","Thailand","4","37","22","18","80","17","55","67","27"
"50","Slovakia","1","31","47","1","53","29","80","87","27"
"51","Turkey","7","50","42","25","52","8","51","33","27"
"52","Latvia","1","29","51","12","49","19","84","85","27"
"53","Bangladesh","5","71","41","18","36","3","46","41","26"
"54","Colombia","4","32","50","37","50","5","70","49","26"
"55","South Africa","5","20","33","64","49","7","67","45","25"
"56","Kenya","2","64","64","22","33","2","50","29","25"
"57","Peru","3","40","41","18","44","7","70","70","25"
"58","Pakistan","6","57","65","19","31","2","40","18","24"
"59","Honduras","1","53","61","20","28","17","52","35","24"
"60","Greece","2","23","65","9","60","10","71","64","24"
"61","Qatar","1","21","49","19","56","24","60","64","23"
"62","Egypt","5","43","72","21","38","4","39","35","23"
"63","Croatia","1","36","47","4","50","15","74","60","23"
"64","Uruguay","1","27","52","16","46","7","83","64","23"
"65","Sri Lanka","1","51","50","25","47","5","51","26","23"
"66","Cote d'Ivoire","2","60","41","20","29","4","54","38","22"
"67","Kuwait","2","21","42","20","51","19","54","74","22"
"68","El Salvador","1","34","69","17","37","14","62","29","22"
"69","Serbia","1","33","53","3","44","16","67","54","22"
"70","Saudi Arabia","5","26","33","23","52","11","45","58","21"
"71","Ghana","2","50","42","17","22","9","66","38","21"
"72","Jordan","2","38","66","17","36","13","52","30","21"
"73","Paraguay","1","35","43","26","37","10","64","45","21"
"74","Bahrain","1","32","29","18","61","29","52","22","21"
"75","Morocco","2","36","24","23","40","12","53","58","20"
"76","Tunisia","1","37","53","10","40","16","60","26","20"
"77","Uganda","2","58","43","27","18","3","45","29","20"
"78","Ethiopia","2","81","38","15","1","1","34","19","19"
"79","Kazakhstan","2","35","30","13","45","8","56","45","19"
"80","Cameroon","2","55","43","23","22","4","36","26","18"
"81","Oman","1","40","13","16","46","17","52","29","18"
"82","Bolivia","1","41","44","16","33","6","42","35","17"
"83","Nigeria","7","28","49","14","30","2","51","20","17"
"84","Nicaragua","1","31","47","29","29","15","43","16","17"
"85","Tanzania","2","54","22","26","7","2","51","32","16"
"86","Uzbekistan","2","39","18","17","37","9","39","45","16"
"87","Lebanon","1","22","89","8","32","14","43","7","16"
"88","Argentina","4","13","50","18","48","3","59","10","15"
"89","Azerbaijan","1","23","29","16","42","11","52","41","15"
"90","Ecuador","2","26","33","24","38","7","53","16","14"
"91","Ukraine","4","1","61","8","47","12","54","22","14"
"92","Democratic Republic of the Congo","3","36","43","25","14","7","28","10","13"
"93","Algeria","3","39","3","8","36","5","35","35","13"
"94","Belarus","2","10","31","5","52","20","42","26","12"
"95","Angola","2","20","23","32","14","8","40","20","10"
"96","Cuba","2","19","36","11","22","1","5","1","3"
"97","Venezuela","3","10","NA","18","21","7","1","1","1"
