"Country","2021","2020","2019","2018","2017","2016","2015","2014","2013","2011","2010","2009","2008","2007","2005","2004","2003","2002","2001","2000","1998","1997","1996"
"China","1","1","1","1","1","1","1","1","3","3","2","2","2","1","3","4","5","5","5","6","5","2","3"
"India","2","4","4","3","3","4","4","7","9","6","8","11","11","9","9","8","9","10","11","8","10","10","10"
"Singapore","3","3","3","4","6","3","3","5","1","1","3","1","3","3","2","2","2","2","1","1","1","1","1"
"Hong Kong","4","2","2","2","2","2","2","2","2","2","1","3","1","2","1","1","1","1","3","2","2","4","2"
"Canada","5","5","5","5","4","6","6","4","","","","","","","","","","","","","","",""
"Japan","6","6","6","6","5","5","5","3","","","","","","","","","","","","","","",""
"Ireland","7","7","10","11","17","23","24","23","","","","","","","","","","","","","","",""
"South Korea","8","14","12","12","11","11","11","10","4","4","4","4","5","6","4","3","3","3","2","10","3","9","5"
"Germany","9","8","7","7","7","7","7","6","","","","","","","","","","","","","","",""
"United Kingdom","10","10","9","8","8","8","9","9","","","","","","","","","","","","","","",""
"Switzerland","11","9","8","10","10","10","10","8","","","","","","","","","","","","","","",""
"Netherlands","12","11","11","13","13","13","15","17","","","","","","","","","","","","","","",""
"Belgium","13","12","13","15","12","15","16","18","","","","","","","","","","","","","","",""
"France","14","16","16","14","15","14","13","11","","","","","","","","","","","","","","",""
"Vietnam","15","27","28","45","48","41","42","50","","","","","","","","","","","","","","",""
"Russia","16","51","50","42","44","35","37","15","13","19","21","9","12","13","11","12","15","13","19","19","19","21","23"
"Australia","17","15","15","17","16","16","14","12","","","","","","","","","","","","","","",""
"Spain","18","17","20","21","26","39","30","31","","","","","","","","","","","","","","",""
"New Zealand","19","18","21","46","30","37","35","21","","","","","","","","","","","","","","",""
"Philippines","20","36","35","32","39","46","46","47","23","22","26","23","18","22","20","18","20","19","17","12","15","18","22"
"Denmark","21","19","25","29","31","26","27","22","","","","","","","","","","","","","","",""
"Indonesia","22","39","32","30","24","33","34","39","16","17","14","22","19","21","19","17","16","22","21","23","16","17","21"
"Cyprus","23","34","44","56","69","67","71","65","","","","","","","","","","","","","","",""
"Malaysia","24","33","33","28","22","27","21","35","12","14","15","10","14","12","13","14","13","17","15","16","8","13","7"
"Mexico","25","37","34","36","42","36","38","25","15","12","12","14","8","14","10","11","10","11","14","15","22","14","9"
"United Arab Emirates","26","13","14","9","14","12","12","13","","","","","","","","","","","","","","",""
"Chile","27","46","47","53","41","44","40","32","10","15","13","13","15","16","14","10","11","9","16","13","14","11","14"
"Italy","28","24","24","22","23","34","32","24","","","","","","","","","","","","","","",""
"Lithuania","29","29","37","26","33","32","29","34","","","","","","","","","","","","","","",""
"Austria","30","21","19","19","19","18","19","16","","","","","","","","","","","","","","",""
"Poland","31","26","30","27","21","21","22","28","7","8","6","7","10","10","8","9","8","8","9","9","12","6","13"
"Sweden","32","22","22","20","20","19","18","19","","","","","","","","","","","","","","",""
"Israel","33","23","23","33","28","22","25","30","5","7","7","6","9","5","5","5","4","4","8","4","4","5","4"
"Portugal","34","32","36","48","58","61","64","60","","","","","","","","","","","4","3","6","12","11"
"Cambodia","35","45","43","37","43","45","45","73","","","","","","","","","","","","","","",""
"Norway","36","20","17","18","18","17","17","14","","","","","","","","","","","","","","",""
"Czechia","37","28","29","23","29","28","39","40","6","5","5","5","6","7","7","7","7","7","7","7","7","7","19"
"Panama","38","49","48","51","36","","","","","","","","","","","","","","","","","",""
"Finland","39","31","26","31","34","30","26","26","","","","","","","","","","","","","","",""
"Estonia","40","40","27","25","27","24","23","56","","","","","","","","","","","","","","",""
"Brazil","41","56","51","43","35","20","20","20","17","11","11","16","23","23","18","20","17","16","18","21","20","22","20"
"Hungary","42","38","40","39","50","55","51","46","11","9","9","8","7","8","6","6","6","6","10","11","11","16","15"
"Slovenia","43","35","38","40","47","48","43","38","","","","","","","","","","","","","","",""
"Guatemala","44","53","60","65","75","71","72","76","","","","","","","","","","","","","","",""
"Costa Rica","45","58","59","60","56","58","58","48","","","","","","","","","","","","","","",""
"Dominican Republic","46","61","55","64","73","66","61","64","","","","","","","","","","","","","","",""
"Romania","47","41","41","47","53","57","54","44","","","","","","","","","","","","","","",""
"Bulgaria","48","50","56","49","54","51","55","43","","","","","","","","","","","","","","",""
"Thailand","49","44","49","55","57","56","53","45","20","18","18","19","16","15","12","13","12","12","12","18","13","15","8"
"Slovakia","50","30","31","24","25","29","33","33","","","","","","","","","","","","","","",""
"Turkey","51","48","46","38","37","25","31","36","8","10","10","12","13","11","15","15","14","14","20","17","18","19","18"
"Latvia","52","42","42","34","40","43","44","29","","","","","","","","","","","","","","",""
"Bangladesh","53","55","58","57","55","54","57","53","","","","","","","","","","","","","","",""
"Colombia","54","70","64","72","70","70","67","67","22","23","24","26","26","27","24","23","24","24","","","","",""
"South Africa","55","86","88","95","95","79","78","70","26","26","22","25","22","24","22","22","21","20","22","22","21","23","17"
"Kenya","56","64","71","83","81","","","","","","","","","","","","","","","","","",""
"Peru","57","60","57","52","46","40","41","51","14","16","20","21","25","25","17","21","18","18","","","","",""
"Pakistan","58","66","70","61","65","62","60","66","24","24","23","20","24","20","","","","","","","","",""
"Honduras","59","73","76","81","78","74","81","78","","","","","","","","","","","","","","",""
"Greece","60","52","66","78","91","85","82","72","","","","","","","","","","","6","5","9","8","6"
"Qatar","61","25","18","16","9","9","8","27","","","","","","","","","","","","","","",""
"Egypt","62","63","63","67","72","63","59","62","21","20","16","17","21","19","16","16","19","21","","","","",""
"Croatia","63","57","61","70","74","60","65","58","","","","","","","","","","","","","","",""
"Uruguay","64","59","53","50","45","49","49","42","","","","","","","","","","","","","","",""
"Sri Lanka","65","71","78","71","62","64","63","71","","","","","","","","","","","","","","",""
"Cote d'Ivoire","66","69","52","77","76","","","","","","","","","","","","","","","","","",""
"Kuwait","67","47","45","35","32","38","36","41","","","","","","","","","","","","","","",""
"El Salvador","68","68","62","59","59","52","52","52","","","","","","","","","","","","","","",""
"Serbia","69","65","72","58","71","59","62","54","","","","","","","","","","","","","","",""
"Saudi Arabia","70","54","54","44","38","31","28","37","19","21","17","15","20","18","","","","","","","","",""
"Ghana","71","76","77","73","49","","","","","","","","","","","","","","","","","",""
"Jordan","72","62","67","54","64","","","","","","","","","","","","","","","","","",""
"Paraguay","73","77","82","79","84","68","66","80","","","","","","","","","","","","","","",""
"Bahrain","74","43","39","41","52","42","47","55","","","","","","","","","","","","","","",""
"Morocco","75","78","80","74","66","72","68","61","","","","","","","","","","","","","","",""
"Tunisia","76","67","68","68","68","69","69","57","","","","","","","","","","","","","","",""
"Uganda","77","84","84","88","88","","","","","","","","","","","","","","","","","",""
"Ethiopia","78","74","74","66","61","","","","","","","","","","","","","","","","","",""
"Kazakhstan","79","79","81","63","63","50","50","63","","","","","","","","","","","","","","",""
"Cameroon","80","92","91","90","82","","","","","","","","","","","","","","","","","",""
"Oman","81","80","65","80","60","47","48","49","","","","","","","","","","","","","","",""
"Bolivia","82","82","79","82","80","","","","","","","","","","","","","","","","","",""
"Nigeria","83","72","69","62","51","78","74","85","","","","","","","","","","","","","","",""
"Nicaragua","84","85","85","75","77","65","70","68","","","","","","","","","","","","","","",""
"Tanzania","85","75","73","89","79","","","","","","","","","","","","","","","","","",""
"Uzbekistan","86","89","90","85","89","82","80","83","","","","","","","","","","","","","","",""
"Lebanon","87","81","75","76","86","","","","","","","","","","","","","","","","","",""
"Argentina","88","83","83","69","67","53","56","59","18","13","19","18","17","17","21","19","23","15","13","14","17","3","12"
"Azerbaijan","89","88","86","87","94","84","84","82","","","","","","","","","","","","","","",""
"Ecuador","90","94","92","92","90","81","75","74","","","","","","","","","","","","","","",""
"Ukraine","91","93","94","94","87","73","73","69","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","92","87","89","84","85","","","","","","","","","","","","","","","","","",""
"Algeria","93","90","87","86","92","75","77","79","","","","","","","","","","","","","","",""
"Belarus","94","91","93","91","93","77","79","75","","","","","","","","","","","","","","",""
"Angola","95","95","95","93","83","","","","","","","","","","","","","","","","","",""
"Cuba","96","96","97","97","97","87","86","87","","","","","","","","","","","","","","",""
"Venezuela","97","97","96","96","96","83","83","77","25","25","25","24","27","26","23","24","22","23","23","20","23","20","16"
"Iraq","","","","","","76","76","81","","","","","","","","","","","","","","",""
"Burma","","","","","","86","87","86","","","","","","","","","","","","","","",""
"Papua New Guinea","","","","","","80","85","84","","","","","","","","","","","","","","",""
"Taiwan","","","","","","","","","","","","","4","4","","","","","","","","",""
