Pais,log_PIB_pc,Inflacion,Expectativa_vida,Calidad_de_vida
China,9.278933163441794,4.3,77.47,103.15
Japan,10.682743619630342,0.4,85.03,162.32
Germany,10.81069717567409,1.4,81.88,176.76
India,7.757051142032013,5.91,70.42,104.52
United Kingdom,10.66697669415232,1.5,81.77,158.99
France,10.691012660306134,0.7,83.13,150.73
Italy,10.452446760283022,0.1,84.01,138.63
Brazil,9.173468897200278,3.3,76.57,104.75
Canada,10.78180639115673,0.9,82.96,159.99
South Korea,10.4341158035983,1.0,83.5,130.02
Russia,9.343821763350663,2.5,72.99,101.67
Spain,10.374303351882421,0.0,83.99,164.48
Mexico,9.206633510044856,3.25,75.41,120.29
Indonesia,8.383433201236713,2.96,72.32,90.1
Turkey,9.161045080251306,,78.45,125.97
Saudi Arabia,10.01485002038959,1.5,75.69,147.37
Poland,9.742085645994678,4.6,79.27,132.65
Taiwan,10.187312194660604,-0.01,81.04,138.82
Belgium,10.770735088230952,0.62,82.17,150.89
Thailand,8.965206802770357,-0.54,77.74,100.29
Argentina,9.332558004700433,,77.17,110.5
Nigeria,7.760893195851024,,55.75,52.0
Iran,8.670772279344538,,77.33,64.73
United Arab Emirates,10.713372778495833,-1.3,78.46,156.03
Israel,10.735483214914881,0.0,83.49,144.14
Malaysia,9.41450495669259,-0.2,76.65,116.94
Philippines,8.161375023197486,2.5,71.66,78.39
South Africa,8.77043908654689,4.1,64.88,132.19
Colombia,8.836664586357426,3.86,77.87,101.33
Bangladesh,7.6324011266014535,5.48,73.57,65.27
Egypt,8.064007347096661,5.1,72.54,86.31
Chile,9.700207901150696,3.7,80.74,99.9
Finland,10.861515060390364,0.6,82.48,182.79
Vietnam,7.964155718840937,4.9,75.77,88.38
Romania,9.529303064460995,3.1,76.5,131.71
Czech Republic,10.094892728063126,3.4,,156.33
Portugal,10.109607012844542,0.0,82.65,161.91
Iraq,8.69901462316851,0.9,71.08,
Peru,8.898228985601227,1.82,77.44,83.3
Greece,10.009018053745592,0.0,82.8,129.86
New Zealand,10.742421965162054,2.5,82.8,175.77
Algeria,8.372629740224884,1.7,77.5,
Hungary,9.82271124250884,3.9,77.31,134.01
Kazakhstan,9.141526055975824,6.4,73.9,96.42
Ukraine,8.12740456269308,2.3,72.5,107.35
Kuwait,10.405353154930607,1.7,75.85,113.98
Morocco,8.147867129923947,1.5,77.43,104.42
Slovakia,9.975761701406148,2.3,78.0,149.68
Kenya,7.592870287844818,6.06,67.47,75.77
Ecuador,8.70317470904168,0.18,77.71,118.76
Puerto Rico,10.513606322644657,1.0,80.69,130.77
Ethiopia,6.736966958001855,,67.81,
Angola,7.952263308657046,,62.22,
Dominican Republic,9.018937706446035,3.66,74.65,
Sri Lanka,8.339023005744759,5.4,77.56,79.78
Guatemala,8.4767877767812,1.24,75.05,
Oman,9.687319614958344,-0.29,78.58,172.08
Panama,9.754407329521975,0.0,79.1,110.32
Ghana,7.7306140660637395,7.8,64.94,
Bulgaria,9.249849505070895,3.0,75.49,126.34
Myanmar,7.172424577124845,9.09,67.78,
Venezuela,7.80057265467065,,72.34,
Tanzania,6.961296045910167,3.4,66.39,
Croatia,9.669283053862493,0.6,79.02,156.1
Belarus,8.816111895794005,4.9,75.2,107.35
Costa Rica,9.421330367117822,1.91,80.94,121.65
Uruguay,9.809012024313242,9.16,78.43,124.63
Lebanon,9.099967314494812,10.04,79.27,94.47
Slovenia,10.240102636097088,0.5,81.85,168.2
Lithuania,9.971800192718215,1.8,76.41,160.02
Turkmenistan,9.140668698726863,,68.63,
Serbia,8.785692444451245,1.3,76.47,116.24
Uzbekistan,7.399398083331354,,72.04,
Dr Congo,6.342121418721152,,,
Libya,8.888204871455022,0.9,73.44,
Ivory Coast,7.519692404116539,2.4,,
Azerbaijan,8.442254104751743,3.0,73.33,102.88
Bolivia,8.288031567776464,1.3,72.35,
Jordan,8.416930769477844,2.1,75.01,114.04
Paraguay,8.745921121024347,2.5,74.59,
Cameroon,7.342131730584722,2.4,60.32,
Bahrain,10.055521708391627,0.1,77.73,
Latvia,9.92373125901317,1.4,75.73,147.59
Tunisia,7.987864096085687,6.2,77.36,
Uganda,6.569481420414296,3.0,64.38,
Estonia,10.129825994746858,0.9,79.18,173.56
Nepal,7.014814351275545,6.9,71.74,
Yemen,6.9363427358340495,,66.44,
Cambodia,7.455876687491824,3.07,70.54,
El Salvador,8.372398606513004,-0.5,74.06,
Senegal,7.397561535524052,2.5,68.87,
Cyprus,9.983914801648742,0.7,81.51,144.06
Zimbabwe,7.444248649496705,,62.16,
Honduras,7.8399193600125825,3.99,75.87,
Zambia,7.197435354096591,,64.7,
Trinidad And Tobago,9.71456425210761,,,
Papua New Guinea,7.793586803371584,3.3,65.22,
Laos,8.000684784514748,6.24,68.89,
Bosnia And Herzegovina,8.785692444451245,,,125.71
Botswana,9.071882578828616,2.2,69.86,
Afghanistan,6.251903883165888,3.7,65.98,
Mali,6.831953565565855,-1.4,60.54,
Georgia,8.465057436995709,6.1,74.24,118.87
Gabon,8.968523555396352,1.0,67.03,
Albania,8.697846691109495,2.1,78.96,
Jamaica,8.634442751466477,4.8,74.88,
Malta,10.51591262801771,1.2,83.06,
Mozambique,6.2285110035911835,3.09,62.13,
Burkina Faso,6.6293632534374485,0.7,62.98,
Mauritius,9.423352776090933,2.2,75.51,
Mongolia,8.41027590907016,6.4,70.53,
Namibia,8.63994165667529,2.4,64.86,
Brunei,10.384183811320607,1.4,76.35,
Armenia,8.449342524508063,-0.1,75.55,
Bahamas,10.449931253903864,1.68,74.28,
North Macedonia,8.791486026749002,,76.26,108.47
Guinea,6.915723448631314,9.3,62.64,
Madagascar,6.16541785423142,4.0,68.21,
Moldova,8.064321960910803,5.9,72.3,
Chad,6.60934924316738,1.0,55.17,
Nicaragua,7.527793987721444,6.13,75.23,
Equatorial Guinea,9.042868018032435,1.8,59.82,
Benin,6.881411303642535,3.5,62.84,
Republic Of The Congo,7.605392364814935,,,
Rwanda,6.725033642166843,,70.0,
Niger,6.0473721790462776,0.3,63.62,
Haiti,6.728628613084702,,64.99,
Kyrgyzstan,7.1891677384203225,5.9,71.95,
Somalia,6.234410725718371,5.2,58.34,
Eritrea,7.720461694599722,,67.48,
Malawi,5.991464547107982,9.8,65.62,
Tajikistan,6.6895992691789665,7.8,71.76,
Maldives,9.343909263897597,1.7,79.89,
Togo,6.583409222158765,-0.3,62.13,
Montenegro,9.120306249272202,0.0,77.39,
Mauritania,7.084226422097916,3.2,65.57,
Fiji,8.74528448245438,-2.8,67.91,
Barbados,9.828602355344339,7.2,79.64,
Eswatini,8.31996102188653,2.8,61.05,
Guyana,8.671115273688494,2.1,70.26,
Sierra Leone,6.249975242259483,,55.92,
Suriname,8.798152718107191,4.2,72.13,
Burundi,5.713732805509369,5.1,62.71,
East Timor,7.8399193600125825,,,
Liberia,6.431331081933479,,65.0,
Aruba,10.22324951845132,5.5,76.79,
Bhutan,8.234299635696253,2.5,72.77,
Lesotho,7.199678345691172,4.1,55.65,
South Sudan,5.5053315359323625,,58.74,
Djibouti,7.860570785538664,3.3,67.87,
Central African Republic,6.22455842927536,3.0,54.36,
Cape Verde,8.276394704863307,1.6,,
Belize,8.539932678385727,0.2,75.09,
Saint Lucia,9.325453179076687,,76.67,
Gambia,6.62273632394984,7.36,63.26,
Antigua And Barbuda,9.815912380280174,,,
Seychelles,9.774630930411124,0.85,73.74,
San Marino,10.802672816507345,,,
Guinea Bissau,6.71901315438526,,,
Solomon Islands,7.733245646529795,,73.38,
Grenada,9.373139262281274,,72.59,
Saint Kitts And Nevis,9.946547041996576,,,
Vanuatu,8.058643712215618,2.9,70.99,
Samoa,8.475537516147405,,73.75,
Saint Vincent And The Grenadines,9.001592700945706,,,
Comoros,6.76849321164863,3.6,65.03,
Dominica,9.008835995765454,,,
Sao Tome And Principe,7.765993079407675,,,
Tonga,8.475537516147405,,71.32,
Micronesia,8.11552088154677,,74.08,
Micronesia,8.11552088154677,,68.27,
Palau,9.788805952452513,,,
Marshall Islands,8.249313746260636,,,
Kiribati,7.387090235656757,,69.17,
Nauru,9.283404942833188,,,
Tuvalu,8.398860004454372,,,
Andorra,10.517375052110442,,,
British Virgin Islands,10.371207325767013,,,
Cook Islands,9.712387577930592,,,
Cuba,8.977777598745481,5.9,79.18,
French Polynesia,9.86141477611422,,78.23,
Palestine,7.84971375760487,1.11,,
Greenland,10.600078795498629,,,
North Korea,6.47543271670409,,72.89,
Montserrat,9.430920640887228,,,
Curacao,9.849084163656741,,,
Sint Maarten,10.114356072974726,,,
New Caledonia,10.397360284649457,-0.5,78.16,
Pakistan,7.134093721192866,10.74,67.79,105.14
Anguilla,10.013551987398436,,,
Sudan,7.520776415062797,,66.09,
Syria,7.10085190894405,3.8,76.06,
Turks And Caicos Islands,10.05997834929556,,,
Sao Tome and Principe,,8.1,,
Republic of the Congo,,7.54,,
Cayman Islands,,3.4,,
Macau,,2.47,,
Hong Kong,,2.3,85.29,99.34
Iceland,,2.1,83.52,179.1
Australia,,1.8,83.94,181.52
Faroe Islands,,1.6,,
Austria,,1.6,82.05,182.37
United States,,1.5,79.11,166.98
Netherlands,,1.4,82.78,183.31
Luxembourg,,0.9,82.79,
Ireland,,0.7,82.81,150.89
Norway,,0.7,82.94,173.57
Guinea-Bissau,,0.6,59.38,
Sweden,,0.6,83.33,171.4
Bermuda,,0.5,,
Trinidad and Tobago,,0.4,73.91,
Denmark,,0.4,81.4,190.01
Bosnia and Herzegovina,,0.3,77.93,
Timor-Leste,,0.2,70.18,
Singapore,,0.0,84.07,143.82
Liechtenstein,,-0.1,,
Switzerland,,-0.5,84.25,190.82
Qatar,,-1.4,80.73,154.58
Macao,,,84.68,
Channel Islands,,,83.6,
Martinique,,,83.13,
Guadeloupe,,,82.74,
Réunion,,,81.55,
U.S. Virgin Islands,,,81.17,
Guam,,,80.74,
French Guiana,,,80.53,
Mayotte,,,79.85,
Czech Republic (Czechia),,,79.85,
Curaçao,,,79.41,
Antigua and Barbuda,,,77.47,
State of Palestine,,,74.62,
Cabo Verde,,,73.58,
St. Vincent & Grenadines,,,72.98,
Western Sahara,,,71.08,
Sao Tome & Principe,,,71.01,
Congo,,,65.21,
DR Congo,,,61.6,
Côte d'Ivoire,,,58.75,
